# GNUBANDS: Utility for SIESTA to transform bands output into Gnuplot format
#
#                                                  Emilio Artacho, Feb. 1999
# --------------------------------------------------------------------------
# E_F               =    -5.9323
# k_min, k_max      =     0.0000    3.6470
# E_min, E_max      =   -63.0029   94.8857
# Nbands, Nspin, Nk =     72     1   856
#
#        k            E
# --------------------------------------------------------------------------
      2.490266    -62.998600
      2.494539    -62.998500
      2.498812    -62.998500
      2.503085    -62.998500
      2.507358    -62.998500
      2.511631    -62.998500
      2.515904    -62.998500
      2.520177    -62.998500
      2.524450    -62.998400
      2.528722    -62.998400
      2.532995    -62.998400
      2.537268    -62.998400
      2.541541    -62.998400
      2.545814    -62.998400
      2.550087    -62.998400
      2.554360    -62.998400
      2.558633    -62.998400
      2.562906    -62.998400
      2.567179    -62.998300
      2.571452    -62.998300
      2.575725    -62.998300
      2.579998    -62.998300
      2.584271    -62.998300
      2.588544    -62.998300
      2.592817    -62.998300
      2.597090    -62.998300
      2.601363    -62.998300
      2.605636    -62.998300
      2.609909    -62.998300
      2.614182    -62.998300
      2.618455    -62.998300
      2.622715    -62.998300
      2.626975    -62.998300
      2.631236    -62.998300
      2.635496    -62.998300
      2.639756    -62.998300
      2.644016    -62.998300
      2.648277    -62.998300
      2.652537    -62.998300
      2.656797    -62.998300
      2.661057    -62.998300
      2.665317    -62.998300
      2.669578    -62.998300
      2.673838    -62.998400
      2.678098    -62.998400
      2.682358    -62.998400
      2.686619    -62.998400
      2.690879    -62.998400
      2.695139    -62.998400
      2.699399    -62.998400
      2.703660    -62.998400
      2.707920    -62.998400
      2.712180    -62.998400
      2.716440    -62.998500
      2.720701    -62.998500
      2.724961    -62.998500
      2.729221    -62.998500
      2.733481    -62.998500
      2.737742    -62.998500
      2.742002    -62.998500
      2.746262    -62.998600
      2.750522    -62.998600
      2.754782    -62.998600
      2.759043    -62.998600
      2.763303    -62.998600
      2.767563    -62.998600
      2.771823    -62.998700
      2.776084    -62.998700
      2.780344    -62.998700
      2.784604    -62.998700
      2.788864    -62.998700
      2.793125    -62.998800
      2.797385    -62.998800
      2.801645    -62.998800
      2.805905    -62.998800
      2.810166    -62.998900
      2.814426    -62.998900
      2.818686    -62.998900
      2.822946    -62.998900
      2.827206    -62.999000
      2.831467    -62.999000
      2.835727    -62.999000
      2.839987    -62.999000
      2.844247    -62.999000
      2.848508    -62.999100
      2.852768    -62.999100
      2.857028    -62.999100
      2.861288    -62.999100
      2.865549    -62.999200
      2.869809    -62.999200
      2.874069    -62.999200
      2.878329    -62.999200
      2.882590    -62.999300
      2.886850    -62.999300
      2.891110    -62.999300
      2.895370    -62.999300
      2.899631    -62.999300
      2.903891    -62.999400
      2.908151    -62.999400
      2.912411    -62.999400
      2.916671    -62.999400
      2.920932    -62.999400
      2.925192    -62.999500
      2.929452    -62.999500
      2.933712    -62.999500
      2.937973    -62.999500
      2.942233    -62.999500
      2.946493    -62.999600
      2.950753    -62.999600
